Y,X,C
6.01813651,0.004364305,2
6.00018997,-0.15637233,2
6.00018997,0.165056241,2
5.991216699,-1.120669219,3
5.991216699,-0.959954933,3
5.991216699,-0.477812076,2
5.991216699,-0.31709779,2
5.991216699,0.325759352,2
5.991216699,0.486473638,2
5.991216699,0.968616495,3
5.991216699,1.129330781,3
5.982243429,0.807891035,3
5.973270159,-0.638548711,2
5.973270159,0.647165574,2
5.964296889,-5.942131315,3
5.964296889,-5.781417029,3
5.964296889,-5.620702743,3
5.964296889,-5.459988457,3
5.964296889,-5.299274172,3
5.964296889,-5.138559886,3
5.964296889,-4.9778456,3
5.964296889,-4.817131315,3
5.964296889,-4.656417029,3
5.964296889,-4.495702743,3
5.964296889,-4.334988457,3
5.964296889,-4.174274172,3
5.964296889,-4.013559886,3
5.964296889,-3.8528456,3
5.964296889,-3.692131315,3
5.964296889,-3.531417029,3
5.964296889,-3.370702743,3
5.964296889,-3.209988457,3
5.964296889,-3.049274172,3
5.964296889,-2.888559886,3
5.964296889,-2.7278456,3
5.964296889,-2.567131315,3
5.964296889,-2.406417029,3
5.964296889,-2.245702743,3
5.964296889,-2.084988457,3
5.964296889,-1.924274172,3
5.964296889,-1.763559886,3
5.964296889,-1.442131315,3
5.964296889,-1.281417029,3
5.964296889,-0.799274172,2
5.964296889,-0.799274172,3
5.964296889,1.290011543,3
5.964296889,1.450725828,3
5.964296889,1.7721544,3
5.964296889,1.932868685,3
5.964296889,2.093582971,3
5.964296889,2.254297257,3
5.964296889,2.415011543,3
5.964296889,2.575725828,3
5.964296889,2.736440114,3
5.964296889,2.8971544,3
5.964296889,3.057868685,3
5.964296889,3.218582971,3
5.964296889,3.379297257,3
5.964296889,3.540011543,3
5.964296889,3.700725828,3
5.964296889,3.861440114,3
5.964296889,4.0221544,3
5.964296889,4.182868685,3
5.964296889,4.343582971,3
5.964296889,4.504297257,3
5.964296889,4.665011543,3
5.964296889,4.825725828,3
5.964296889,4.986440114,3
5.964296889,5.1471544,3
5.964296889,5.307868685,3
5.964296889,5.468582971,3
5.964296889,5.629297257,3
5.964296889,5.790011543,3
5.964296889,5.950725828,3
5.955323619,0.807857511,2
5.937377078,-1.602879124,3
5.937377078,1.61140659,3
5.928403808,-0.638604585,3
5.910457268,-0.960055505,2
5.910457268,0.004230209,3
5.910457268,0.968515923,2
5.901483998,-1.120780966,2
5.901483998,1.129219034,2
5.892510728,0.164922145,3
5.878153495,0.657761409,3
5.856617647,-1.281551125,2
5.856617647,-0.477979696,3
5.856617647,-0.317265411,3
5.856617647,0.325591732,3
5.856617647,0.486306018,3
5.856617647,1.289877446,2
5.835081799,-0.145863659,3
5.829697837,-1.763727506,3
5.829697837,-1.442298935,2
5.829697837,1.450558208,2
5.829697837,1.77198678,3
5.816237931,-1.603029982,3
5.816237931,1.611255732,3
5.802778026,-5.942332459,3
5.802778026,-5.781618173,3
5.802778026,-5.620903887,3
5.802778026,-5.460189602,3
5.802778026,-5.299475316,3
5.802778026,-5.13876103,3
5.802778026,-4.978046745,3
5.802778026,-4.817332459,3
5.802778026,-4.656618173,3
5.802778026,-4.495903887,3
5.802778026,-4.335189602,3
5.802778026,-4.174475316,3
5.802778026,-4.01376103,3
5.802778026,-3.853046745,3
5.802778026,-3.692332459,3
5.802778026,-3.531618173,3
5.802778026,-3.370903887,3
5.802778026,-3.210189602,3
5.802778026,-3.049475316,3
5.802778026,-2.88876103,3
5.802778026,-2.728046745,3
5.802778026,-2.567332459,3
5.802778026,-2.406618173,3
5.802778026,-2.245903887,3
5.802778026,-2.085189602,3
5.802778026,-1.924475316,3
5.802778026,-0.960189602,3
5.802778026,-0.799475316,3
5.802778026,0.807667541,3
5.802778026,0.968381827,3
5.802778026,1.932667541,3
5.802778026,2.093381827,3
5.802778026,2.254096113,3
5.802778026,2.414810398,3
5.802778026,2.575524684,3
5.802778026,2.73623897,3
5.802778026,2.896953255,3
5.802778026,3.057667541,3
5.802778026,3.218381827,3
5.802778026,3.379096113,3
5.802778026,3.539810398,3
5.802778026,3.700524684,3
5.802778026,3.86123897,3
5.802778026,4.021953255,3
5.802778026,4.182667541,3
5.802778026,4.343381827,3
5.802778026,4.504096113,3
5.802778026,4.664810398,3
5.802778026,4.825524684,3
5.802778026,4.98623897,3
5.802778026,5.146953255,3
5.802778026,5.307667541,3
5.802778026,5.468381827,3
5.802778026,5.629096113,3
5.802778026,5.789810398,3
5.802778026,5.950524684,3
5.784831486,-1.442354808,3
5.784831486,1.129073763,3
5.775858216,-1.603080269,2
5.775858216,1.611205446,2
5.766884945,-0.638805729,3
5.748938405,-1.281685221,3
5.748938405,0.004029065,3
5.748938405,1.28974335,3
5.739965135,-1.763839253,2
5.739965135,1.771875033,2
5.730991865,0.164721001,3
5.727402557,-1.110283469,3
5.727402557,1.461145102,3
5.695098784,-0.478180841,3
5.695098784,-0.317466555,3
5.695098784,0.325390588,3
5.695098784,0.486104874,3
5.686125514,-1.924620587,2
5.686125514,1.93252227,2
5.659205704,-2.246082682,3
5.659205704,0.646774461,3
5.659205704,2.253917318,3
5.650232433,-2.085379571,3
5.650232433,2.093191857,3
5.641259163,-5.942533603,3
5.641259163,-5.781819317,3
5.641259163,-5.621105032,3
5.641259163,-5.460390746,3
5.641259163,-5.29967646,3
5.641259163,-5.138962175,3
5.641259163,-4.978247889,3
5.641259163,-4.817533603,3
5.641259163,-4.656819317,3
5.641259163,-4.496105032,3
5.641259163,-4.335390746,3
5.641259163,-4.17467646,3
5.641259163,-4.013962175,3
5.641259163,-3.853247889,3
5.641259163,-3.692533603,3
5.641259163,-3.531819317,3
5.641259163,-3.371105032,3
5.641259163,-3.210390746,3
5.641259163,-3.04967646,3
5.641259163,-2.888962175,3
5.641259163,-2.728247889,3
5.641259163,-2.406819317,3
5.641259163,-1.603247889,3
5.641259163,-0.960390746,3
5.641259163,-0.79967646,3
5.641259163,0.807466397,3
5.641259163,0.968180683,3
5.641259163,1.611037825,3
5.641259163,2.414609254,3
5.641259163,2.736037825,3
5.641259163,2.896752111,3
5.641259163,3.057466397,3
5.641259163,3.218180683,3
5.641259163,3.378894968,3
5.641259163,3.539609254,3
5.641259163,3.70032354,3
5.641259163,3.861037825,3
5.641259163,4.021752111,3
5.641259163,4.182466397,3
5.641259163,4.343180683,3
5.641259163,4.503894968,3
5.641259163,4.664609254,3
5.641259163,4.82532354,3
5.641259163,4.986037825,3
5.641259163,5.146752111,3
5.641259163,5.307466397,3
5.641259163,5.468180683,3
5.641259163,5.628894968,3
5.641259163,5.789609254,3
5.641259163,5.95032354,3
5.632285893,-2.085401921,2
5.623312623,-1.442555952,3
5.623312623,-0.156841667,3
5.623312623,1.128872619,3
5.623312623,1.771729762,3
5.623312623,2.093158333,2
5.614339353,-2.55417427,3
5.614339353,2.561897159,3
5.605366083,-0.639006873,3
5.587419542,-1.281886365,3
5.587419542,0.00382792,3
5.587419542,1.289542206,3
5.569473002,0.164519857,3
5.569473002,1.932376999,3
5.565883694,-1.753341756,3
5.560499732,-2.246205604,2
5.560499732,2.253794396,2
5.533579921,-0.478381985,3
5.533579921,-0.317667699,3
5.533579921,0.325189444,3
5.533579921,0.485903729,3
5.515633381,-1.121261477,3
5.515633381,1.450167094,3
5.512044073,-1.91412309,3
5.506660111,-2.594486938,3
5.497686841,-2.406998112,2
5.497686841,0.646573316,3
5.497686841,2.414430459,2
5.488713571,2.628704999,3
5.4797403,-5.942734747,3
5.4797403,-5.782020462,3
5.4797403,-5.621306176,3
5.4797403,-5.46059189,3
5.4797403,-5.299877605,3
5.4797403,-5.139163319,3
5.4797403,-4.978449033,3
5.4797403,-4.817734747,3
5.4797403,-4.657020462,3
5.4797403,-4.496306176,3
5.4797403,-4.33559189,3
5.4797403,-4.174877605,3
5.4797403,-4.014163319,3
5.4797403,-3.853449033,3
5.4797403,-3.692734747,3
5.4797403,-3.532020462,3
5.4797403,-3.371306176,3
5.4797403,-3.21059189,3
5.4797403,-3.049877605,3
5.4797403,-2.728449033,3
5.4797403,-2.08559189,3
5.4797403,-1.603449033,3
5.4797403,-0.96059189,3
5.4797403,-0.799877605,3
5.4797403,0.807265253,3
5.4797403,0.967979538,3
5.4797403,1.610836681,3
5.4797403,2.092979538,3
5.4797403,2.950122395,3
5.4797403,3.110836681,3
5.4797403,3.271550967,3
5.4797403,3.432265253,3
5.4797403,3.592979538,3
5.4797403,3.753693824,3
5.4797403,3.91440811,3
5.4797403,4.075122395,3
5.4797403,4.235836681,3
5.4797403,4.396550967,3
5.4797403,4.557265253,3
5.4797403,4.717979538,3
5.4797403,4.878693824,3
5.4797403,5.03940811,3
5.4797403,5.200122395,3
5.4797403,5.360836681,3
5.4797403,5.521550967,3
5.4797403,5.682265253,3
5.4797403,5.842979538,3
5.4797403,5.97690811,3
5.46179376,-2.407042811,3
5.46179376,-1.442757097,3
5.46179376,-0.157042811,3
5.46179376,1.128671475,3
5.46179376,1.771528618,3
5.45282049,-2.875803986,3
5.45282049,2.802767443,3
5.44384722,-0.639208018,3
5.44384722,2.253649125,3
5.425900679,-2.567801795,2
5.425900679,-1.28208751,3
5.425900679,0.003626776,3
5.425900679,1.289341062,3
5.425900679,2.575055347,2
5.412440774,-2.232997129,3
5.407954139,0.164318712,3
5.407954139,1.932175855,3
5.404364831,2.425028528,3
5.372061058,-0.478583129,3
5.372061058,-0.317868844,3
5.372061058,0.324988299,3
5.372061058,0.485702585,3
5.354114518,-1.764319764,3
5.354114518,-1.121462622,3
5.354114518,1.44996595,3
5.345141248,-2.728616653,2
5.345141248,2.735669061,2
5.336167978,0.646372172,3
5.331681343,-2.916133415,3
5.327194708,2.949932426,3
5.318221438,-5.942935892,3
5.318221438,-5.782221606,3
5.318221438,-5.62150732,3
5.318221438,-5.460793035,3
5.318221438,-5.300078749,3
5.318221438,-5.139364463,3
5.318221438,-4.978650177,3
5.318221438,-4.817935892,3
5.318221438,-4.657221606,3
5.318221438,-4.49650732,3
5.318221438,-4.335793035,3
5.318221438,-4.175078749,3
5.318221438,-4.014364463,3
5.318221438,-3.853650177,3
5.318221438,-3.692935892,3
5.318221438,-3.532221606,3
5.318221438,-3.37150732,3
5.318221438,-3.210793035,3
5.318221438,-2.085793035,3
5.318221438,-1.603650177,3
5.318221438,-0.960793035,3
5.318221438,-0.800078749,3
5.318221438,0.807064108,3
5.318221438,0.967778394,3
5.318221438,1.610635537,3
5.318221438,2.146349823,3
5.318221438,3.271349823,3
5.318221438,3.432064108,3
5.318221438,3.592778394,3
5.318221438,3.75349268,3
5.318221438,3.914206965,3
5.318221438,4.074921251,3
5.318221438,4.235635537,3
5.318221438,4.396349823,3
5.318221438,4.557064108,3
5.318221438,4.717778394,3
5.318221438,4.87849268,3
5.318221438,5.039206965,3
5.318221438,5.199921251,3
5.318221438,5.360635537,3
5.318221438,5.521349823,3
5.318221438,5.682064108,3
5.318221438,5.842778394,3
5.318221438,5.976706965,3
5.300274897,-2.407243955,3
5.300274897,-1.925101098,3
5.300274897,-1.442958241,3
5.300274897,-0.157243955,3
5.300274897,1.12847033,3
5.300274897,1.771327473,3
5.300274897,2.574898902,3
5.291301627,-3.06350513,3
5.291301627,3.110602013,3
5.282328357,-0.639409162,3
5.264381817,-2.728717225,3
5.264381817,-1.282288654,3
5.264381817,0.003425632,3
5.264381817,1.342711346,3
5.264381817,2.30699706,3
5.255408546,-2.889442686,2
5.255408546,2.8962716,2
5.246435276,0.164117568,3
5.242845968,-2.557315473,3
5.237462006,1.998927822,3
5.228488736,-2.246619067,3
5.210542196,-0.478784274,3
5.210542196,-0.318069988,3
5.210542196,0.378358584,3
5.210542196,0.539072869,3
5.210542196,2.789072869,3
5.192595655,-1.764520909,3
5.192595655,-1.121663766,3
5.183622385,-0.666317798,3
5.174649115,0.699742456,3
5.17016248,3.110451155,3
5.165675845,-3.210983004,3
5.156702575,-5.943137036,3
5.156702575,-5.78242275,3
5.156702575,-5.621708465,3
5.156702575,-5.460994179,3
5.156702575,-5.300279893,3
5.156702575,-5.139565607,3
5.156702575,-4.978851322,3
5.156702575,-4.818137036,3
5.156702575,-4.65742275,3
5.156702575,-4.496708465,3
5.156702575,-4.335994179,3
5.156702575,-4.175279893,3
5.156702575,-4.014565607,3
5.156702575,-3.853851322,3
5.156702575,-3.693137036,3
5.156702575,-3.53242275,3
5.156702575,-3.371708465,3
5.156702575,-3.050279893,2
5.156702575,-2.835994179,3
5.156702575,-1.603851322,3
5.156702575,-0.960994179,3
5.156702575,-0.800279893,3
5.156702575,-0.15742275,3
5.156702575,0.860434393,3
5.156702575,1.021148678,3
5.156702575,1.195255821,3
5.156702575,1.503291535,3
5.156702575,1.664005821,3
5.156702575,1.838112964,3
5.156702575,2.146148678,3
5.156702575,2.46757725,3
5.156702575,2.641684393,3
5.156702575,3.056862964,2
5.156702575,3.271148678,3
5.156702575,3.431862964,3
5.156702575,3.59257725,3
5.156702575,3.753291535,3
5.156702575,3.914005821,3
5.156702575,4.074720107,3
5.156702575,4.235434393,3
5.156702575,4.396148678,3
