current,throttle,volt,speed,fwd,rev,timestamp
327,161,304,0,0,0,1567566919.74869
327,161,304,0,0,0,1567566919.84859
327,161,301,0,0,0,1567566919.94819
327,161,302,0,0,0,1567566920.04824
327,161,304,0,0,0,1567566920.14880
328,161,302,0,0,0,1567566920.24850
328,161,304,0,0,0,1567566920.34854
327,161,304,0,0,0,1567566920.44819
327,161,304,0,0,0,1567566920.54858
327,161,304,0,0,0,1567566920.64798
327,161,304,0,0,0,1567566920.74831
327,161,304,0,0,0,1567566920.84837
328,161,305,0,0,0,1567566920.94831
328,161,304,0,0,0,1567566921.04811
329,161,304,0,0,0,1567566921.14874
329,161,305,0,0,0,1567566921.24812
328,161,304,0,0,0,1567566921.34781
328,161,304,0,0,0,1567566921.44793
328,161,305,0,0,0,1567566921.54798
328,161,305,0,0,0,1567566921.84866
332,161,304,0,0,0,1567566921.94875
330,161,305,0,0,0,1567566922.04818
329,161,305,0,0,0,1567566922.14813
330,161,304,0,0,0,1567566922.24911
330,161,304,0,0,0,1567566922.64801
330,161,304,0,0,0,1567566922.84788
330,161,305,0,0,0,1567566922.94839
330,161,305,0,0,0,1567566923.04852
330,161,305,0,0,0,1567566923.14885
330,161,305,0,0,0,1567566923.34831
329,161,306,0,0,0,1567566923.44835
330,161,307,0,0,0,1567566923.64835
330,161,307,0,0,0,1567566923.94806
330,161,306,0,0,0,1567566924.04785
330,161,305,0,0,0,1567566924.14866
330,161,307,0,0,0,1567566924.24820
330,161,307,0,0,0,1567566924.34842
330,161,306,0,0,0,1567566924.54821
329,161,306,0,0,0,1567566924.64814
329,161,307,0,0,0,1567566924.94884
330,161,307,0,0,0,1567566925.04918
330,161,306,0,0,0,1567566925.14835
330,161,307,0,0,0,1567566925.24886
329,161,308,0,0,0,1567566925.34838
329,161,307,0,0,0,1567566925.54839
330,161,309,0,0,0,1567566925.74879
329,161,307,0,0,0,1567566926.04835
330,161,308,0,0,0,1567566926.14784
329,161,308,0,0,0,1567566926.24800
330,161,308,0,0,0,1567566926.34878
329,161,308,0,0,0,1567566926.54840
330,161,307,0,0,0,1567566926.74827
330,161,307,0,0,0,1567566926.84877
329,161,307,0,0,0,1567566926.94839
330,161,308,0,0,0,1567566927.14828
330,161,334,0,0,0,1567566927.34867
330,161,332,0,0,0,1567566927.44796
330,161,333,0,0,0,1567566927.54797
330,161,333,0,0,0,1567566927.64800
329,161,337,0,0,0,1567566927.74855
330,161,333,0,0,0,1567566927.84822
330,161,334,0,0,0,1567566928.04811
330,161,333,0,0,0,1567566928.24850
330,161,333,0,0,0,1567566928.34811
330,161,332,0,0,0,1567566928.44875
330,161,333,0,0,0,1567566929.04902
330,161,334,0,0,0,1567566929.14798
330,161,333,0,0,0,1567566929.34793
330,161,333,0,0,0,1567566929.44837
330,161,334,0,0,0,1567566929.54799
330,161,333,0,0,0,1567566929.64854
329,161,332,0,0,0,1567566929.94835
330,161,334,0,0,0,1567566930.24800
330,161,332,0,0,0,1567566930.34864
330,161,333,0,0,0,1567566930.54818
330,161,328,0,0,0,1567566930.74797
330,161,332,0,0,0,1567566930.84878
330,161,332,0,0,0,1567566931.04788
330,161,333,0,0,0,1567566931.14839
330,161,332,0,0,0,1567566931.24814
330,161,333,0,0,0,1567566931.44857
329,161,334,0,0,0,1567566931.54792
329,161,332,0,0,0,1567566931.74823
330,161,333,0,0,0,1567566931.84938
330,161,333,0,0,0,1567566931.94806
330,161,334,0,0,0,1567566932.04827
330,161,333,0,0,0,1567566932.24892
331,161,332,0,0,0,1567566932.34852
330,161,332,0,0,0,1567566932.54842
330,161,334,0,0,0,1567566932.64840
330,161,332,0,0,0,1567566932.74834
329,161,333,0,0,0,1567566932.84783
329,161,336,0,0,0,1567566932.94856
330,161,334,0,0,0,1567566933.04941
330,161,333,0,0,0,1567566933.14811
330,161,334,0,0,0,1567566933.24804
330,161,334,0,0,0,1567566933.34886
329,161,333,0,0,0,1567566933.44854
330,161,334,0,0,0,1567566933.54816
330,161,335,0,0,0,1567566933.64800
330,161,333,0,0,0,1567566933.84862
329,161,333,0,0,0,1567566933.94839
329,161,333,0,0,0,1567566934.04860
330,161,334,0,0,0,1567566934.24882
330,161,333,0,0,0,1567566934.34833
329,161,334,0,0,0,1567566934.54783
329,161,333,0,0,0,1567566934.64864
329,161,332,0,0,0,1567566934.74882
328,161,333,0,0,0,1567566934.94814
328,161,333,0,0,0,1567566935.04835
328,161,333,0,0,0,1567566935.14855
328,161,333,0,0,0,1567566935.24864
328,161,332,0,0,0,1567566935.34884
328,161,334,0,0,0,1567566935.44865
328,161,334,0,0,0,1567566935.54861
328,161,335,0,0,0,1567566935.74811
328,161,334,0,0,0,1567566935.94823
328,161,333,0,0,0,1567566936.14827
328,161,333,0,0,0,1567566936.24813
328,161,333,0,0,0,1567566936.64878
328,161,334,0,0,0,1567566936.74807
328,161,334,0,0,0,1567566936.84867
329,161,333,0,0,0,1567566936.94906
328,161,333,0,0,0,1567566937.04795
328,161,334,0,0,0,1567566937.14788
328,161,333,0,0,0,1567566937.34824
328,161,334,0,0,0,1567566937.44787
329,161,333,0,0,0,1567566937.54874
329,161,333,0,0,0,1567566937.64800
328,161,333,0,0,0,1567566937.74787
328,161,335,0,0,0,1567566937.84880
329,161,333,0,0,0,1567566938.04862
328,161,334,0,0,0,1567566938.14818
329,161,334,0,0,0,1567566938.24848
328,161,332,0,0,0,1567566938.54883
328,161,333,0,0,0,1567566938.64785
329,161,333,0,0,0,1567566938.74828
328,161,333,0,0,0,1567566938.94861
328,161,334,0,0,0,1567566939.04789
328,161,334,0,0,0,1567566939.14843
328,161,333,0,0,0,1567566939.24785
328,161,334,0,0,0,1567566939.34891
329,161,333,0,0,0,1567566939.44811
329,161,333,0,0,0,1567566939.54841
329,161,333,0,0,0,1567566939.74783
329,161,333,0,0,0,1567566939.84785
329,161,333,0,0,0,1567566939.94860
328,161,333,0,0,0,1567566940.04833
329,161,334,0,0,0,1567566940.14874
329,161,334,0,0,0,1567566940.24881
329,161,334,0,0,0,1567566940.34882
